#TYPE Selected.Microsoft.Exchange.Management.TransportLogSearchTasks.MessageTrackingEvent
"Recipients","MessageSubject"
"recipient1@test.org","Subject 1"
"recipient1@test.org","Subject 22"
"recipient1@test.org","Subject 1"
"recipient1@test.org","Subject 22"
"recipient1@test.org","Subject 333"
"recipient22@test.org","Subject 4444"
"recipient666666@test.org","Subject 55555"
"recipient666666@test.org","Subject 666666"
"recipient1@test.org","Subject 55555"
"recipient1@test.org","Subject 666666"
"recipient666666@test.org","Subject 666666"
"recipient1@test.org","Subject 7777777"
"recipient333@test.org","Subject 1"
"recipient666666@test.org","Subject 666666"
"recipient1@test.org","Subject 88888888"
"recipient1@test.org","Subject 4444"
"recipient1@test.org","Subject 666666"
"recipient4444@test.org","Subject 22"
"recipient1@test.org","Subject 666666"
"recipient1@test.org","Subject 333"
"recipient666666@test.org","Subject 55555"
"recipient666666@test.org","Subject 666666"
"recipient1@test.org","Subject 55555"
"recipient1@test.org","Subject 666666"
"recipient55555@test.org","Subject 4444"
"recipient666666@test.org","Subject 666666"
"recipient666666@test.org","Subject 666666"
"recipient1@test.org","Subject 7777777"
